                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.4518,                  2.562,                 6.5527,                 4.7296,                0.36536,               0.019397,              0.0080614,              0.0030969,                0.19885,               0.030926,              0.0062578,              0.0021417,                      0,                      0,                      0,                      0,               0.070032,              0.0033297,              0.0033297
                      1,                 2.6035,                 1.6422,                 4.3406,                 2.7392,                0.22804,                0.12013,               0.073698,               0.041894,                0.22141,                0.11084,               0.066068,               0.032364,                      0,                      0,                      0,                      0,               0.039999,              0.0066301,              0.0066301
                      2,                 2.0997,                 1.4124,                 3.5431,                 2.1934,                0.28738,                0.22415,                0.17651,                0.10675,                0.28351,                0.20922,                0.16323,               0.086345,                      0,                      0,                      0,                      0,              0.0099335,              0.0098974,              0.0098974
                      3,                 1.8635,                 1.2703,                 3.0134,                 1.9637,                0.41847,                0.29406,                0.27604,                0.17751,                0.41599,                0.27777,                0.25893,                0.14618,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.7341,                 1.1853,                 2.6894,                 1.8534,                0.45594,                 0.3526,                0.34915,                0.22916,                0.45323,                0.33759,                0.33167,                0.19231,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6512,                 1.1413,                 2.4879,                 1.7804,                0.50662,                0.38972,                0.39193,                0.26374,                 0.5049,                 0.3739,                0.37379,                0.22088,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.6048,                 1.1048,                 2.3656,                 1.7402,                 0.5435,                0.40138,                0.42569,                0.29075,                0.53796,                0.38884,                0.40674,                0.24468,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5691,                 1.0845,                 2.2684,                 1.7107,                0.54515,                0.43458,                0.45098,                0.30992,                0.55259,                0.41419,                0.43099,                0.26216,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.5466,                 1.0667,                 2.2131,                 1.6875,                0.57967,                0.44546,                0.47889,                0.33259,                0.58113,                0.42836,                0.46178,                0.28424,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5224,                 1.0513,                 2.1569,                 1.6662,                0.58254,                0.46393,                0.49196,                0.34367,                0.57391,                0.45301,                0.47282,                 0.2926,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
