               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3343,              6.3503,              4.5205,             0.37932,            0.010507,           0.0082356,           0.0035118,                   0,                   0,                   0,            0.070032,           0.0033297,           0.0033297
                   1,               2.565,              4.2806,              2.6645,             0.22799,             0.14007,            0.091305,            0.052183,                   0,                   0,                   0,            0.039966,           0.0065971,           0.0065971
                   2,              2.0921,               3.463,              2.1572,             0.29695,             0.22301,             0.17837,             0.10974,                   0,                   0,                   0,           0.0098345,           0.0097985,           0.0097985
                   3,              1.8531,              2.9506,              1.9414,             0.42215,             0.29842,             0.28162,             0.18258,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.7118,              2.6342,              1.8235,             0.46677,             0.34597,             0.34391,             0.22944,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.6445,              2.4326,              1.7605,             0.49536,             0.38688,             0.39214,             0.26669,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,               1.603,              2.3298,              1.7246,             0.50505,             0.41191,             0.42554,             0.29352,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.5559,              2.2599,              1.6955,              0.5394,             0.43206,              0.4509,             0.31566,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,               1.541,               2.187,              1.6747,             0.55612,             0.44865,             0.47202,             0.33261,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.5191,               2.118,              1.6503,                0.57,             0.46782,             0.48922,             0.34706,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.5017,              2.0834,              1.6403,             0.58035,             0.47374,             0.50407,             0.35765,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.4829,              2.0345,              1.6224,             0.60714,              0.4763,             0.51503,             0.36854,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.4706,               2.009,              1.6093,             0.60424,             0.48958,             0.52423,             0.37704,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
