               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.5924,              5.3986,              3.6166,             0.18734,            0.080321,            0.048011,             0.02647,                   0,                   0,                   0,            0.070004,           0.0033329,           0.0033329
                   1,               2.184,              3.6902,              2.2396,             0.31617,             0.22822,              0.1864,             0.11663,                   0,                   0,                   0,            0.039991,            0.006653,            0.006653
                   2,              1.9193,               3.129,              1.9894,              0.4099,             0.30628,              0.2907,             0.19146,                   0,                   0,                   0,           0.0099645,             0.00996,             0.00996
                   3,              1.7735,              2.7805,              1.8602,             0.49557,             0.35554,             0.36172,             0.24544,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,              1.6679,              2.5227,              1.7734,             0.52497,             0.38606,             0.40372,             0.27768,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              1.6133,              2.3789,              1.7246,             0.53637,             0.41027,             0.42947,             0.29828,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              1.5739,               2.275,              1.6913,              0.5459,             0.42161,             0.44591,             0.31218,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              1.5445,              2.2021,              1.6674,             0.55148,             0.43055,              0.4564,             0.32073,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              1.5245,              2.1462,              1.6489,             0.55757,             0.43825,             0.46556,             0.32847,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,               1.505,              2.0958,               1.631,              0.5625,             0.44551,             0.47342,             0.33482,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              1.4917,              2.0664,              1.6208,             0.56398,             0.45521,             0.48091,             0.34162,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              1.4792,              2.0384,                1.61,             0.57372,             0.46101,             0.48776,             0.34723,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              1.4717,               2.008,              1.6015,             0.58448,             0.46497,             0.49476,             0.35328,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,               1.462,               1.984,              1.5932,             0.59693,             0.46577,             0.50163,             0.35878,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              1.4564,              1.9713,              1.5875,             0.60768,              0.4681,             0.50809,             0.36424,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              1.4499,               1.949,              1.5808,             0.60871,             0.47503,             0.51455,             0.36972,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,              1.4437,              1.9283,              1.5761,             0.61483,             0.47786,             0.52074,             0.37489,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              1.4402,              1.9189,              1.5723,             0.61923,             0.48516,             0.52676,             0.37966,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              1.4336,              1.9049,              1.5658,             0.63371,             0.48526,             0.53133,             0.38399,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              1.4284,              1.8961,              1.5641,             0.63376,             0.49273,             0.53686,             0.38811,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              1.4248,              1.8879,              1.5599,             0.63491,             0.49891,             0.54088,             0.39205,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,              1.4233,              1.8755,              1.5567,             0.63885,              0.5026,             0.54514,             0.39602,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,               1.418,               1.864,              1.5507,             0.65094,             0.50053,             0.54996,             0.40017,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,              1.4144,               1.857,              1.5494,             0.64757,             0.50512,             0.55421,             0.40374,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              1.4125,              1.8512,              1.5463,             0.64572,             0.51048,             0.55753,             0.40695,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,              1.4097,              1.8403,              1.5439,             0.65026,             0.51097,             0.56108,             0.40978,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              1.4048,              1.8312,              1.5412,             0.65064,             0.51392,             0.56451,             0.41257,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              1.4049,              1.8255,               1.539,             0.64931,             0.51778,             0.56724,             0.41488,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              1.4011,              1.8194,              1.5362,              0.6556,             0.51699,             0.56989,             0.41764,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,              1.4004,              1.8135,              1.5345,             0.65247,             0.52089,             0.57229,             0.41991,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,              1.3965,              1.8115,              1.5337,             0.65153,             0.52476,              0.5751,             0.42215,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,               1.396,               1.805,              1.5311,             0.64637,             0.53163,             0.57763,             0.42433,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,              1.3934,              1.8003,              1.5292,             0.65606,             0.52871,             0.58074,              0.4271,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,              1.3909,              1.7962,              1.5262,               0.658,             0.53084,             0.58247,             0.42868,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,              1.3898,              1.7888,              1.5258,             0.66678,             0.52824,             0.58412,              0.4303,                   0,                   0,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,              1.3895,              1.7867,              1.5253,             0.67019,             0.52908,             0.58642,             0.43219,                   0,                   0,                   0,           0.0093268,           0.0093268,           0.0093268
