               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1501,              6.2299,              4.3266,             0.33826,            0.030674,            0.017687,            0.008073,                   0,                   0,                   0,            0.070016,           0.0033315,           0.0033315
                   1,              2.3748,              4.1294,              2.4796,             0.27159,             0.16335,             0.11615,            0.068438,                   0,                   0,                   0,            0.040003,           0.0066517,           0.0066517
                   2,              1.9961,              3.4026,              2.0827,             0.35461,             0.23838,             0.20905,             0.13144,                   0,                   0,                   0,           0.0099766,           0.0099586,           0.0099586
                   3,              1.8052,              3.0074,              1.9353,             0.43161,             0.32713,             0.31411,             0.20747,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,              1.6917,              2.6885,              1.8386,             0.49836,             0.36557,             0.37438,             0.25646,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,                1.62,              2.5062,              1.7794,             0.51928,             0.40485,             0.41644,             0.28761,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,                1.58,              2.4108,              1.7408,             0.52857,             0.42404,             0.44212,             0.30863,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              1.5623,              2.3509,              1.7189,             0.53797,             0.44286,             0.45874,             0.32236,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              1.5355,               2.282,              1.6982,             0.55097,             0.44763,             0.46947,             0.33173,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              1.5216,              2.2229,              1.6777,             0.55975,             0.45283,             0.47861,             0.33905,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              1.5022,              2.2042,              1.6714,             0.56374,             0.45762,             0.48392,             0.34411,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              1.4795,              2.1351,              1.6484,             0.57448,             0.45865,              0.4891,             0.34865,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              1.4883,              2.1361,              1.6541,             0.56923,             0.46629,             0.49345,             0.35197,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,               1.459,               2.091,              1.6322,             0.56951,             0.47182,             0.49801,              0.3558,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              1.4518,              2.0748,              1.6246,             0.56773,               0.478,             0.50246,             0.35969,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              1.4446,              2.0497,              1.6263,              0.5867,             0.47548,             0.50739,             0.36357,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
